Gene,Spearman_r,p_value,abs_corr
TP53TG5,-0.2747926888163716,0.015579771438671076,0.2747926888163716
TP53I3,0.24114489287542118,0.034625317168374276,0.24114489287542118
TP53RK,-0.14230714200981548,0.21697572951028768,0.14230714200981548
TP53BP2,-0.12919283934992384,0.2627902510224609,0.12919283934992384
TP53I11,-0.1171242892728253,0.3103691530000781,0.1171242892728253
TP53I13,0.08462116845628352,0.46434176129229965,0.08462116845628352
TP53INP1,-0.08134259279131062,0.48188737094550627,0.08134259279131062
TP53AIP1,-0.07258088196250372,0.530458963654544,0.07258088196250372
TP53,-0.07015021379709276,0.544352214105922,0.07015021379709276
TP53BP1,0.061261316843351545,0.596617620323133,0.061261316843351545
TP53INP2,-0.049235162141231095,0.6706702608333927,0.049235162141231095
